Iteration,Timesteps
1,131.0
2,141.0
3,57.0
4,78.0
5,330.0
6,98.0
7,78.0
8,152.0
9,114.0
10,20.0
11,64.0
12,129.0
13,76.0
14,171.0
15,52.0
16,184.0
17,154.0
18,93.0
19,165.0
20,53.0
21,144.0
22,153.0
23,211.0
24,81.0
25,97.0
26,186.0
27,125.0
28,60.0
29,66.0
30,177.0
31,81.0
32,51.0
33,40.0
34,145.0
35,85.0
36,89.0
37,66.0
38,73.0
39,53.0
40,64.0
41,139.0
42,165.0
43,186.0
44,132.0
45,144.0
46,61.0
47,123.0
48,90.0
49,40.0
50,254.0
51,52.0
52,216.0
53,190.0
54,137.0
55,121.0
56,196.0
57,55.0
58,121.0
59,131.0
60,44.0
61,62.0
62,149.0
63,149.0
64,61.0
65,55.0
66,84.0
67,92.0
68,151.0
69,82.0
70,52.0
71,36.0
72,87.0
73,113.0
74,127.0
75,153.0
76,54.0
77,92.0
78,55.0
79,260.0
80,147.0
81,55.0
82,69.0
83,189.0
84,34.0
85,152.0
86,57.0
87,88.0
88,41.0
89,53.0
90,49.0
91,60.0
92,23.0
93,153.0
94,65.0
95,46.0
96,146.0
97,154.0
98,65.0
99,60.0
100,32.0
101,114.0
102,69.0
103,66.0
104,45.0
105,26.0
106,44.0
107,112.0
108,28.0
109,23.0
110,102.0
111,20.0
112,91.0
113,38.0
114,115.0
115,114.0
116,30.0
117,32.0
118,234.0
119,33.0
120,43.0
121,294.0
122,137.0
123,31.0
124,51.0
125,163.0
126,29.0
127,88.0
128,61.0
129,80.0
130,180.0
131,27.0
132,72.0
133,33.0
134,119.0
135,109.0
136,124.0
137,48.0
138,43.0
139,149.0
140,58.0
141,72.0
142,109.0
143,27.0
144,63.0
145,46.0
146,70.0
147,52.0
148,17.0
149,30.0
150,247.0
151,59.0
152,97.0
153,29.0
154,56.0
155,16.0
156,54.0
157,50.0
158,21.0
159,29.0
160,60.0
161,23.0
162,76.0
163,55.0
164,105.0
165,59.0
166,77.0
167,57.0
168,76.0
169,132.0
170,44.0
171,41.0
172,85.0
173,113.0
174,24.0
175,90.0
176,124.0
177,79.0
178,44.0
179,70.0
180,129.0
181,29.0
182,101.0
183,64.0
184,28.0
185,63.0
186,56.0
187,40.0
188,97.0
189,61.0
190,70.0
191,54.0
192,63.0
193,77.0
194,58.0
195,101.0
196,70.0
197,79.0
198,49.0
199,131.0
200,68.0
201,45.0
202,52.0
203,43.0
204,44.0
205,51.0
206,32.0
207,31.0
208,49.0
209,28.0
210,223.0
211,151.0
212,60.0
213,137.0
214,43.0
215,58.0
216,76.0
217,60.0
218,43.0
219,66.0
220,145.0
221,39.0
222,55.0
223,76.0
224,20.0
225,28.0
226,114.0
227,60.0
228,211.0
229,100.0
230,167.0
231,42.0
232,102.0
233,111.0
234,196.0
235,130.0
236,50.0
237,53.0
238,31.0
239,23.0
240,44.0
241,75.0
242,156.0
243,30.0
244,254.0
245,79.0
246,197.0
247,155.0
248,64.0
249,275.0
250,69.0
251,42.0
252,36.0
253,176.0
254,63.0
255,123.0
256,72.0
257,132.0
258,88.0
259,32.0
260,58.0
261,30.0
262,124.0
263,34.0
264,97.0
265,32.0
266,69.0
267,131.0
268,244.0
269,167.0
270,54.0
271,34.0
272,55.0
273,119.0
274,346.0
275,139.0
276,140.0
277,34.0
278,170.0
279,150.0
280,176.0
281,127.0
282,29.0
283,34.0
284,88.0
285,59.0
286,127.0
287,202.0
288,80.0
289,102.0
290,152.0
291,63.0
292,63.0
293,37.0
294,101.0
295,146.0
296,54.0
297,55.0
298,29.0
299,150.0
300,40.0
301,35.0
302,66.0
303,24.0
304,127.0
305,91.0
306,101.0
307,47.0
308,316.0
309,91.0
310,50.0
311,103.0
312,64.0
313,23.0
314,28.0
315,57.0
316,48.0
317,122.0
318,78.0
319,217.0
320,162.0
321,109.0
322,33.0
323,52.0
324,135.0
325,115.0
326,132.0
327,160.0
328,42.0
329,51.0
330,42.0
331,50.0
332,85.0
333,81.0
334,119.0
335,132.0
336,351.0
337,99.0
338,271.0
339,34.0
340,181.0
341,132.0
342,74.0
343,19.0
344,43.0
345,112.0
346,108.0
347,108.0
348,144.0
349,106.0
350,113.0
351,211.0
352,80.0
353,120.0
354,155.0
355,92.0
356,20.0
357,52.0
358,167.0
359,78.0
360,85.0
361,306.0
362,346.0
363,157.0
364,97.0
365,80.0
366,154.0
367,166.0
368,233.0
369,164.0
370,164.0
371,92.0
372,149.0
373,77.0
374,234.0
375,179.0
376,77.0
377,30.0
378,358.0
379,112.0
380,80.0
381,92.0
382,69.0
383,57.0
384,366.0
385,166.0
386,213.0
387,319.0
388,61.0
389,108.0
390,29.0
391,93.0
392,33.0
393,167.0
394,91.0
395,106.0
396,64.0
397,160.0
398,206.0
399,316.0
400,109.0
401,277.0
402,362.0
403,111.0
404,163.0
405,68.0
406,152.0
407,80.0
408,240.0
409,141.0
410,169.0
411,351.0
412,216.0
413,374.0
414,40.0
415,51.0
416,157.0
417,101.0
418,50.0
419,271.0
420,77.0
421,94.0
422,124.0
423,156.0
424,157.0
425,83.0
426,35.0
427,37.0
428,58.0
429,86.0
430,86.0
431,100.0
432,95.0
433,91.0
434,116.0
435,63.0
436,68.0
437,209.0
438,260.0
439,131.0
440,164.0
441,198.0
442,131.0
443,54.0
444,59.0
445,76.0
446,102.0
447,117.0
448,55.0
449,308.0
450,36.0
451,48.0
452,122.0
453,150.0
454,31.0
455,80.0
456,62.0
457,88.0
458,73.0
459,82.0
460,59.0
461,92.0
462,58.0
463,100.0
464,62.0
465,214.0
466,58.0
467,56.0
468,88.0
469,95.0
470,265.0
471,276.0
472,112.0
473,94.0
474,328.0
475,256.0
476,65.0
477,163.0
478,151.0
479,94.0
480,61.0
481,92.0
482,118.0
483,141.0
484,132.0
485,272.0
486,133.0
487,89.0
488,296.0
489,199.0
490,290.0
491,272.0
492,145.0
493,87.0
494,97.0
495,89.0
496,96.0
497,144.0
498,130.0
499,311.0
500,180.0
501,60.0
502,498.0
503,173.0
504,81.0
505,112.0
506,93.0
507,163.0
508,70.0
509,41.0
510,74.0
511,47.0
512,56.0
513,67.0
514,53.0
515,141.0
516,50.0
517,457.0
518,449.0
519,429.0
520,214.0
521,41.0
522,260.0
523,51.0
524,147.0
525,251.0
526,112.0
527,102.0
528,173.0
529,113.0
530,83.0
531,685.0
532,257.0
533,205.0
534,303.0
535,297.0
536,86.0
537,269.0
538,255.0
539,235.0
540,161.0
541,263.0
542,99.0
543,109.0
544,100.0
545,217.0
546,89.0
547,264.0
548,104.0
549,266.0
550,140.0
551,160.0
552,176.0
553,33.0
554,196.0
555,222.0
556,165.0
557,213.0
558,222.0
559,204.0
560,193.0
561,400.0
562,164.0
563,48.0
564,306.0
565,157.0
566,395.0
567,103.0
568,246.0
569,103.0
570,160.0
571,110.0
572,133.0
573,120.0
574,58.0
575,114.0
576,29.0
577,228.0
578,233.0
579,41.0
580,41.0
581,267.0
582,234.0
583,288.0
584,45.0
585,133.0
586,255.0
587,171.0
588,97.0
589,269.0
590,100.0
591,336.0
592,226.0
593,233.0
594,196.0
595,341.0
596,372.0
597,351.0
598,332.0
599,291.0
600,203.0
